Year,Minimum indicator
2014.1667,0
2014.25,0
2014.3333,0
2014.4167,0
2014.5,0
2014.5833,0
2014.6667,0
2014.75,0
2014.8333,0
2014.9167,0
2015,0
2015.0833,0
2015.1667,0
2015.25,0
2015.3333,0
2015.4167,0
2015.5,0
2015.5833,0
2015.6667,0
2015.75,0
2015.8333,0
2015.9167,0
2016,0
2016.0833,0
2016.1667,0
2016.25,0
2016.3333,0.0005
2016.4167,0.0003
2016.5,0
2016.5833,0.0002
2016.6667,0.0006
2016.75,0.0009
2016.8333,0.0004
2016.9167,0
2017,0
2017.0833,0
2017.1667,0
2017.25,0
2017.3333,0
2017.4167,0
2017.5,0
2017.5833,0
2017.6667,0
2017.75,0
2017.8333,0
2017.9167,0
2018,0
2018.0833,0
2018.1667,0
2018.25,0
2018.3333,0
2018.4167,0
2018.5,0
2018.5833,0
2018.6667,0
2018.75,0
2018.8333,0
2018.9167,0
2019,0
2019.0833,0
2019.1667,0.0007
2019.25,0
2019.3333,0
2019.4167,0
2019.5,0.0001
2019.5833,0.0001
2019.6667,0
2019.75,0
2019.8333,0
2019.9167,0.0002
2020,0.0001
2020.0833,0
2020.1667,0.0027
2020.25,0.0033
2020.3333,0.008
2020.4167,0.0107
2020.5,0.0102
2020.5833,0.0059
2020.6667,0.0043
2020.75,0.0036
2020.8333,0.0029
2020.9167,0.0013
2021,0
2021.0833,0
2021.1667,0
2021.25,0
2021.3333,0
2021.4167,0
2021.5,0
2021.5833,0
2021.6667,0
2021.75,0
2021.8333,0
2021.9167,0
2022,0
2022.0833,0
2022.1667,0
2022.25,0
2022.3333,0
2022.4167,0
2022.5,0
2022.5833,0
2022.6667,0
2022.75,0.0003
2022.8333,0.0003
2022.9167,0.0001
2023,0
2023.0833,0
2023.1667,0.0002
2023.25,0.0002
2023.3333,0.0004
2023.4167,0.0007
2023.5,0.001
2023.5833,0.0014
2023.6667,0.002
2023.75,0.003
2023.8333,0.0029
2023.9167,0.0027
2024,0.0021
2024.0833,0.0026
2024.1667,0.0027
2024.25,0.0034
2024.3333,0.0035
2024.4167,0.004
2024.5,0.0049
2024.5833,0.0054
