Year,Unemployment indicator,Vacancy indicator,Minimum indicator
1974.9167,0.0179,0.0132,0.0132
1975,0.0232,0.0147,0.0147
1975.0833,0.027,0.0155,0.0155
1975.1667,0.0315,0.0166,0.0166
1975.25,0.034,0.0171,0.0171
1975.3333,0.0369,0.0174,0.0174
1975.4167,0.0367,0.0167,0.0167
1975.5,0.0347,0.0147,0.0147
1975.5833,0.0318,0.0127,0.0127
1975.6667,0.0288,0.011,0.011
1975.75,0.0263,0.009,0.009
1975.8333,0.022,0.0059,0.0059
1975.9167,0.017,0.0028,0.0028
1976,0.0086,0,0
1976.0833,0.0018,0,0
1976.1667,0,0,0
1976.25,0,0,0
1976.3333,0,0,0
1976.4167,0.0001,0,0
1976.5,0.0005,0,0
1976.5833,0.0018,0.0001,0.0001
1976.6667,0.0019,0.0004,0.0004
1976.75,0.0016,0.0003,0.0003
1976.8333,0.0018,0.0001,0.0001
1976.9167,0.0022,0,0
1977,0.0016,0,0
1977.0833,0.0008,0,0
1977.1667,0,0,0
1977.25,0,0,0
1977.3333,0,0,0
1977.4167,0,0,0
1977.5,0,0,0
1977.5833,0,0,0
1977.6667,0,0,0
1977.75,0,0,0
1977.8333,0,0,0
1977.9167,0,0,0
1978,0,0,0
1978.0833,0,0,0
1978.1667,0,0,0
1978.25,0,0,0
1978.3333,0,0,0
1978.4167,0,0,0
1978.5,0.0003,0.0002,0.0002
1978.5833,0,0.0001,0
1978.6667,0.0002,0,0
1978.75,0,0,0
1978.8333,0,0,0
1978.9167,0.0001,0,0
1979,0.0005,0.0003,0.0003
1979.0833,0.0006,0.0008,0.0006
1979.1667,0.0001,0.0013,0.0001
1979.25,0,0.001,0
1979.3333,0,0.0004,0
1979.4167,0,0.0002,0
1979.5,0,0.0009,0
1979.5833,0.0014,0.0012,0.0012
1979.6667,0.0019,0.0008,0.0008
1979.75,0.0027,0,0
1979.8333,0.0024,0.0005,0.0005
1979.9167,0.0026,0.0015,0.0015
1980,0.0037,0.0032,0.0032
1980.0833,0.005,0.0042,0.0042
1980.1667,0.0062,0.0052,0.0052
1980.25,0.0083,0.0076,0.0076
1980.3333,0.0123,0.0107,0.0107
1980.4167,0.0165,0.0134,0.0134
1980.5,0.0195,0.0143,0.0143
1980.5833,0.019,0.014,0.014
1980.6667,0.0181,0.0134,0.0134
1980.75,0.0168,0.0128,0.0128
1980.8333,0.0159,0.0112,0.0112
1980.9167,0.0146,0.0101,0.0101
1981,0.0133,0.0087,0.0087
1981.0833,0.012,0.0084,0.0084
1981.1667,0.0113,0.0076,0.0076
1981.25,0.0084,0.0052,0.0052
1981.3333,0.0046,0.0024,0.0024
1981.4167,0.0008,0.0015,0.0008
1981.5,0.0006,0.0017,0.0006
1981.5833,0.0003,0.0017,0.0003
1981.6667,0.0007,0.0026,0.0007
1981.75,0.003,0.0041,0.003
1981.8333,0.0059,0.0055,0.0055
1981.9167,0.009,0.0068,0.0068
1982,0.0112,0.0071,0.0071
1982.0833,0.0132,0.0074,0.0074
1982.1667,0.015,0.008,0.008
1982.25,0.0174,0.0092,0.0092
1982.3333,0.0188,0.0098,0.0098
1982.4167,0.0205,0.0107,0.0107
1982.5,0.0222,0.0116,0.0116
1982.5833,0.0238,0.0127,0.0127
1982.6667,0.0252,0.013,0.013
1982.75,0.0249,0.0122,0.0122
1982.8333,0.025,0.0113,0.0113
1982.9167,0.0243,0.0097,0.0097
1983,0.0221,0.0086,0.0086
1983.0833,0.0191,0.0072,0.0072
1983.1667,0.0155,0.006,0.006
1983.25,0.0123,0.0044,0.0044
1983.3333,0.0094,0.0023,0.0023
1983.4167,0.0068,0.0005,0.0005
1983.5,0.0027,0,0
1983.5833,0,0,0
1983.6667,0,0,0
1983.75,0,0,0
1983.8333,0,0,0
1983.9167,0,0,0
1984,0,0,0
1984.0833,0,0,0
1984.1667,0,0,0
1984.25,0,0,0
1984.3333,0,0,0
1984.4167,0,0,0
1984.5,0,0,0
1984.5833,0.0002,0,0
1984.6667,0.0006,0,0
1984.75,0.0001,0.0001,0.0001
1984.8333,0,0,0
1984.9167,0,0,0
1985,0,0,0
1985.0833,0.0002,0,0
1985.1667,0,0,0
1985.25,0,0,0
1985.3333,0,0,0
1985.4167,0.0004,0.0001,0.0001
1985.5,0.0008,0,0
1985.5833,0.0005,0.0001,0.0001
1985.6667,0,0,0
1985.75,0,0,0
1985.8333,0,0,0
1985.9167,0,0.0004,0
1986,0,0.0006,0
1986.0833,0.0006,0.0011,0.0006
1986.1667,0.0012,0.0013,0.0012
1986.25,0.0027,0.0014,0.0014
1986.3333,0.0026,0.0017,0.0017
1986.4167,0.0028,0.0012,0.0012
1986.5,0.0025,0.0012,0.0012
1986.5833,0.0015,0.0009,0.0009
1986.6667,0.0009,0.0013,0.0009
1986.75,0.0006,0.0011,0.0006
1986.8333,0.0006,0.0005,0.0005
1986.9167,0,0.0003,0
1987,0,0.0006,0
1987.0833,0,0.0008,0
1987.1667,0,0,0
1987.25,0,0,0
1987.3333,0,0,0
1987.4167,0,0,0
1987.5,0,0,0
1987.5833,0,0,0
1987.6667,0,0,0
1987.75,0,0,0
1987.8333,0,0,0
1987.9167,0,0.0004,0
1988,0,0.0013,0
1988.0833,0,0.0021,0
1988.1667,0,0.0019,0
1988.25,0,0.0015,0
1988.3333,0,0.0009,0
1988.4167,0,0.0012,0
1988.5,0,0.001,0
1988.5833,0,0.0012,0
1988.6667,0.0001,0.0016,0.0001
1988.75,0,0.0015,0
1988.8333,0,0.0018,0
1988.9167,0,0.0009,0
1989,0.0001,0.0011,0.0001
1989.0833,0,0.0013,0
1989.1667,0,0.0021,0
1989.25,0,0.0018,0
1989.3333,0,0.0021,0
1989.4167,0.0009,0.0025,0.0009
1989.5,0.0009,0.0035,0.0009
1989.5833,0.0012,0.0038,0.0012
1989.6667,0.0012,0.0037,0.0012
1989.75,0.0016,0.0036,0.0016
1989.8333,0.0021,0.0039,0.0021
1989.9167,0.0022,0.0037,0.0022
1990,0.0023,0.0034,0.0023
1990.0833,0.0019,0.0037,0.0019
1990.1667,0.0016,0.0041,0.0016
1990.25,0.0017,0.0049,0.0017
1990.3333,0.0019,0.0051,0.0019
1990.4167,0.001,0.0052,0.001
1990.5,0.0013,0.0046,0.0013
1990.5833,0.0022,0.0049,0.0022
1990.6667,0.0042,0.0058,0.0042
1990.75,0.0053,0.0073,0.0053
1990.8333,0.0068,0.009,0.0068
1990.9167,0.0081,0.0103,0.0081
1991,0.0096,0.0112,0.0096
1991.0833,0.0109,0.0118,0.0109
1991.1667,0.0127,0.012,0.012
1991.25,0.0136,0.0118,0.0118
1991.3333,0.0146,0.0115,0.0115
1991.4167,0.0149,0.0108,0.0108
1991.5,0.015,0.0106,0.0106
1991.5833,0.0137,0.0102,0.0102
1991.6667,0.0117,0.0097,0.0097
1991.75,0.0109,0.0086,0.0086
1991.8333,0.01,0.0071,0.0071
1991.9167,0.0098,0.006,0.006
1992,0.0094,0.0048,0.0048
1992.0833,0.0093,0.0039,0.0039
1992.1667,0.0081,0.0025,0.0025
1992.25,0.0073,0.0015,0.0015
1992.3333,0.0066,0.001,0.001
1992.4167,0.0077,0.0012,0.0012
1992.5,0.0084,0.001,0.001
1992.5833,0.0084,0.0007,0.0007
1992.6667,0.0077,0.0005,0.0005
1992.75,0.0061,0.0001,0.0001
1992.8333,0.0049,0,0
1992.9167,0.0031,0,0
1993,0.0018,0,0
1993.0833,0,0,0
1993.1667,0,0,0
1993.25,0,0,0
1993.3333,0,0,0
1993.4167,0,0,0
1993.5,0,0,0
1993.5833,0,0,0
1993.6667,0,0,0
1993.75,0,0,0
1993.8333,0,0,0
1993.9167,0,0,0
1994,0,0,0
1994.0833,0,0,0
1994.1667,0,0,0
1994.25,0,0,0
1994.3333,0,0,0
1994.4167,0,0,0
1994.5,0,0,0
1994.5833,0,0.0002,0
1994.6667,0,0,0
1994.75,0,0,0
1994.8333,0,0,0
1994.9167,0,0,0
1995,0,0.0002,0
1995.0833,0,0.0001,0
1995.1667,0,0.0008,0
1995.25,0.0006,0.0009,0.0006
1995.3333,0.0013,0.0018,0.0013
1995.4167,0.002,0.0023,0.002
1995.5,0.0017,0.0023,0.0017
1995.5833,0.0018,0.0017,0.0017
1995.6667,0.0018,0.0013,0.0013
1995.75,0.0013,0.0012,0.0012
1995.8333,0.0011,0.0015,0.0011
1995.9167,0.0009,0.0007,0.0007
1996,0.0014,0.0006,0.0006
1996.0833,0.001,0.0005,0.0005
1996.1667,0.0007,0.0007,0.0007
1996.25,0,0.0009,0
1996.3333,0.0002,0.0013,0.0002
1996.4167,0,0.001,0
1996.5,0,0.0011,0
1996.5833,0,0.0008,0
1996.6667,0,0.0009,0
1996.75,0,0.0009,0
1996.8333,0.0008,0,0
1996.9167,0.0014,0,0
1997,0.0016,0,0
1997.0833,0.0012,0,0
1997.1667,0.0005,0,0
1997.25,0,0,0
1997.3333,0,0.0009,0
1997.4167,0,0.0007,0
1997.5,0,0.0008,0
1997.5833,0,0,0
1997.6667,0,0,0
1997.75,0,0,0
1997.8333,0,0,0
1997.9167,0,0.0003,0
1998,0,0,0
1998.0833,0,0,0
1998.1667,0,0,0
1998.25,0,0,0
1998.3333,0,0,0
1998.4167,0,0.0001,0
1998.5,0.0007,0.0003,0.0003
1998.5833,0.001,0.0003,0.0003
1998.6667,0.0011,0.0007,0.0007
1998.75,0.0011,0.0012,0.0011
1998.8333,0.0008,0.0012,0.0008
1998.9167,0.0002,0.0009,0.0002
1999,0,0,0
1999.0833,0,0,0
1999.1667,0,0,0
1999.25,0.0001,0.0004,0.0001
1999.3333,0,0.0008,0
1999.4167,0.0003,0.0013,0.0003
1999.5,0.0003,0.0015,0.0003
1999.5833,0.0004,0.0018,0.0004
1999.6667,0.0003,0.0019,0.0003
1999.75,0,0.0017,0
1999.8333,0,0.0017,0
1999.9167,0,0.0011,0
2000,0,0.0004,0
2000.0833,0.0001,0,0
2000.1667,0.0001,0,0
2000.25,0,0,0
2000.3333,0,0.001,0
2000.4167,0,0.0021,0
2000.5,0.0007,0.0029,0.0007
2000.5833,0.0009,0.0037,0.0009
2000.6667,0.0008,0.0037,0.0008
2000.75,0.0003,0.0042,0.0003
2000.8333,0,0.0043,0
2000.9167,0,0.0049,0
2001,0.001,0.0054,0.001
2001.0833,0.002,0.0051,0.002
2001.1667,0.0031,0.0052,0.0031
2001.25,0.0037,0.0059,0.0037
2001.3333,0.0041,0.0063,0.0041
2001.4167,0.0049,0.0067,0.0049
2001.5,0.0056,0.0068,0.0056
2001.5833,0.0075,0.0065,0.0065
2001.6667,0.009,0.0074,0.0074
2001.75,0.0115,0.0077,0.0077
2001.8333,0.0136,0.0093,0.0093
2001.9167,0.0162,0.0093,0.0093
2002,0.0163,0.01,0.01
2002.0833,0.0158,0.01,0.01
2002.1667,0.0147,0.0108,0.0108
2002.25,0.015,0.0102,0.0102
2002.3333,0.015,0.0094,0.0094
2002.4167,0.0143,0.0078,0.0078
2002.5,0.0131,0.0073,0.0073
2002.5833,0.011,0.0072,0.0072
2002.6667,0.0091,0.0061,0.0061
2002.75,0.0063,0.0057,0.0057
2002.8333,0.0047,0.0037,0.0037
2002.9167,0.0031,0.0031,0.0031
2003,0.0024,0.0025,0.0024
2003.0833,0.002,0.0026,0.002
2003.1667,0.0017,0.0025,0.0017
2003.25,0.0023,0.0025,0.0023
2003.3333,0.0031,0.0028,0.0028
2003.4167,0.0045,0.0027,0.0027
2003.5,0.0048,0.0016,0.0016
2003.5833,0.0047,0.0017,0.0017
2003.6667,0.004,0.0019,0.0019
2003.75,0.0033,0.0026,0.0026
2003.8333,0.002,0.0019,0.0019
2003.9167,0,0.0016,0
2004,0,0.0005,0
2004.0833,0,0.0001,0
2004.1667,0.0004,0,0
2004.25,0,0,0
2004.3333,0.0001,0,0
2004.4167,0,0,0
2004.5,0,0.0005,0
2004.5833,0,0,0
2004.6667,0,0.0004,0
2004.75,0,0,0
2004.8333,0,0,0
2004.9167,0,0.0002,0
2005,0,0,0
2005.0833,0.0001,0.0003,0.0001
2005.1667,0,0,0
2005.25,0,0.0001,0
2005.3333,0,0,0
2005.4167,0,0.0004,0
2005.5,0,0.0004,0
2005.5833,0,0.0002,0
2005.6667,0,0,0
2005.75,0,0,0
2005.8333,0.0005,0.0002,0.0002
2005.9167,0,0,0
2006,0,0.0002,0
2006.0833,0,0,0
2006.1667,0,0,0
2006.25,0.0001,0,0
2006.3333,0,0,0
2006.4167,0,0,0
2006.5,0.0001,0.0003,0.0001
2006.5833,0.0002,0.0012,0.0002
2006.6667,0,0.0007,0
2006.75,0,0.0005,0
2006.8333,0,0.0001,0
2006.9167,0,0.0003,0
2007,0.0007,0.0006,0.0006
2007.0833,0.0008,0.0003,0.0003
2007.1667,0.0007,0.0002,0.0002
2007.25,0.0002,0,0
2007.3333,0,0.0001,0
2007.4167,0.0005,0.0002,0.0002
2007.5,0.0011,0.0005,0.0005
2007.5833,0.0018,0.0007,0.0007
2007.6667,0.0022,0.001,0.001
2007.75,0.0023,0.0014,0.0014
2007.8333,0.0026,0.0014,0.0014
2007.9167,0.0036,0.0012,0.0012
2008,0.0045,0.0015,0.0015
2008.0833,0.005,0.0015,0.0015
2008.1667,0.0054,0.0023,0.0023
2008.25,0.0053,0.003,0.003
2008.3333,0.0072,0.0042,0.0042
2008.4167,0.0083,0.0043,0.0043
2008.5,0.0104,0.0049,0.0049
2008.5833,0.012,0.0054,0.0054
2008.6667,0.0135,0.0062,0.0062
2008.75,0.0158,0.0073,0.0073
2008.8333,0.0179,0.0081,0.0081
2008.9167,0.0207,0.0091,0.0091
2009,0.0242,0.0089,0.0089
2009.0833,0.0288,0.0103,0.0103
2009.1667,0.0332,0.0102,0.0102
2009.25,0.037,0.0109,0.0109
2009.3333,0.0385,0.0105,0.0105
2009.4167,0.0396,0.011,0.011
2009.5,0.0385,0.0102,0.0102
2009.5833,0.037,0.0097,0.0097
2009.6667,0.0359,0.009,0.009
2009.75,0.0353,0.0077,0.0077
2009.8333,0.0339,0.0065,0.0065
2009.9167,0.0304,0.0051,0.0051
2010,0.0254,0.0048,0.0048
2010.0833,0.0201,0.0025,0.0025
2010.1667,0.0154,0.0014,0.0014
2010.25,0.012,0,0
2010.3333,0.0079,0,0
2010.4167,0.0038,0,0
2010.5,0.0006,0,0
2010.5833,0,0.0002,0
2010.6667,0.0002,0.0001,0.0001
2010.75,0.0002,0,0
2010.8333,0.0011,0,0
2010.9167,0.0007,0,0
2011,0,0,0
2011.0833,0,0.0002,0
2011.1667,0,0.0002,0
2011.25,0,0,0
2011.3333,0,0,0
2011.4167,0.0005,0.0001,0.0001
2011.5,0.0001,0,0
2011.5833,0,0,0
2011.6667,0,0,0
2011.75,0,0,0
2011.8333,0,0,0
2011.9167,0,0,0
2012,0,0,0
2012.0833,0,0,0
2012.1667,0,0,0
2012.25,0,0,0
2012.3333,0,0.0003,0
2012.4167,0,0,0
2012.5,0,0.0002,0
2012.5833,0,0.0003,0
2012.6667,0,0.0003,0
2012.75,0,0.0004,0
2012.8333,0,0.0004,0
2012.9167,0.0003,0.0003,0.0003
2013,0.001,0.0001,0.0001
2013.0833,0.0009,0,0
2013.1667,0,0,0
2013.25,0,0,0
2013.3333,0,0,0
2013.4167,0,0,0
2013.5,0,0,0
2013.5833,0,0.0002,0
2013.6667,0,0.0003,0
2013.75,0,0.0003,0
2013.8333,0,0,0
2013.9167,0,0,0
2014,0,0.0001,0
2014.0833,0,0.0003,0
2014.1667,0,0,0
2014.25,0,0,0
2014.3333,0,0,0
2014.4167,0,0,0
2014.5,0,0,0
2014.5833,0,0,0
2014.6667,0,0,0
2014.75,0,0.0002,0
2014.8333,0,0,0
2014.9167,0,0.0011,0
2015,0,0.0007,0
2015.0833,0,0,0
2015.1667,0,0,0
2015.25,0,0,0
2015.3333,0.0004,0,0
2015.4167,0,0,0
2015.5,0,0,0
2015.5833,0,0,0
2015.6667,0,0.0002,0
2015.75,0,0,0
2015.8333,0,0.0006,0
2015.9167,0,0.0002,0
2016,0,0,0
2016.0833,0,0,0
2016.1667,0,0,0
2016.25,0.0008,0,0
2016.3333,0.0007,0.0005,0.0005
2016.4167,0.0003,0.0004,0.0003
2016.5,0,0.0012,0
2016.5833,0.0002,0.001,0.0002
2016.6667,0.0006,0.0012,0.0006
2016.75,0.0009,0.001,0.0009
2016.8333,0.0004,0.0018,0.0004
2016.9167,0,0.0011,0
2017,0,0.0009,0
2017.0833,0,0.0009,0
2017.1667,0,0.0011,0
2017.25,0,0.0014,0
2017.3333,0,0,0
2017.4167,0,0.0002,0
2017.5,0,0,0
2017.5833,0.0001,0,0
2017.6667,0,0,0
2017.75,0,0,0
2017.8333,0,0,0
2017.9167,0,0,0
2018,0,0,0
2018.0833,0,0,0
2018.1667,0,0,0
2018.25,0,0,0
2018.3333,0,0,0
2018.4167,0,0,0
2018.5,0,0,0
2018.5833,0,0,0
2018.6667,0,0,0
2018.75,0,0,0
2018.8333,0,0,0
2018.9167,0.0006,0,0
2019,0.0011,0,0
2019.0833,0.0011,0,0
2019.1667,0.0007,0.0011,0.0007
2019.25,0,0.0014,0
2019.3333,0,0.0018,0
2019.4167,0,0.0014,0
2019.5,0.0001,0.0018,0.0001
2019.5833,0.0001,0.0023,0.0001
2019.6667,0,0.0026,0
2019.75,0,0.0028,0
2019.8333,0,0.0024,0
2019.9167,0.0002,0.003,0.0002
2020,0.0001,0.0039,0.0001
2020.0833,0,0.0041,0
2020.1667,0.0029,0.0027,0.0027
2020.25,0.0403,0.0033,0.0033
2020.3333,0.0729,0.008,0.008
2020.4167,0.0949,0.0107,0.0107
2020.5,0.0797,0.0102,0.0102
2020.5833,0.0636,0.0059,0.0059
2020.6667,0.0529,0.0043,0.0043
2020.75,0.0416,0.0036,0.0036
2020.8333,0.0359,0.0029,0.0029
2020.9167,0.0321,0.0013,0.0013
2021,0.0305,0,0
2021.0833,0.0291,0,0
2021.1667,0.024,0,0
2021.25,0,0,0
2021.3333,0,0,0
2021.4167,0,0,0
2021.5,0,0,0
2021.5833,0,0,0
2021.6667,0,0,0
2021.75,0,0,0
2021.8333,0,0,0
2021.9167,0,0,0
2022,0,0,0
2022.0833,0,0.0005,0
2022.1667,0,0,0
2022.25,0,0,0
2022.3333,0,0,0
2022.4167,0,0.0004,0
2022.5,0,0.0025,0
2022.5833,0,0.003,0
2022.6667,0,0.0058,0
2022.75,0.0003,0.0068,0.0003
2022.8333,0.0003,0.0088,0.0003
2022.9167,0.0001,0.0076,0.0001
2023,0,0.0073,0
2023.0833,0,0.0078,0
2023.1667,0.0002,0.0097,0.0002
2023.25,0.0002,0.0126,0.0002
2023.3333,0.0004,0.0137,0.0004
2023.4167,0.0007,0.0143,0.0007
2023.5,0.001,0.0134,0.001
2023.5833,0.0014,0.0151,0.0014
2023.6667,0.002,0.0123,0.002
2023.75,0.003,0.0111,0.003
2023.8333,0.0029,0.0108,0.0029
2023.9167,0.0027,0.0116,0.0027
2024,0.0021,0.0124,0.0021
2024.0833,0.0026,0.0117,0.0026
2024.1667,0.0027,0.0101,0.0027
2024.25,0.0034,0.0083,0.0034
2024.3333,0.0035,0.0089,0.0035
2024.4167,0.004,0.009,0.004
2024.5,0.0049,0.0089,0.0049
2024.5833,0.0054,0.0074,0.0054
